ObjectID,GlobalID,Número de informe MIRA,Tipo de incendio,Fecha de registro del evento,Departamento,Fuente,Área,CreationDate,Creator,EditDate,Editor,x,y,link fuente,,,,,,,
48,f6677162-eda3-4940-891e-a12f77dcfa4d,935,De_Campo,29-Dec-21,Flores,sgsp,4,5/26/2022 16:13,sinae_covid_19,5/26/2022 16:13,sinae_covid_19,-56.86003204,-33.50194765,,,,,,,,
92,b3c7f043-d916-4dfd-a5a9-8d37fd6a7d67,521,De_Campo,4-Mar-20,Florida,cecoed,4,6/9/2022 16:51,sinae_covid_19,6/9/2022 16:51,sinae_covid_19,-56.21014462,-34.12174447,,,,,,,,
73,b1c21b20-f83e-4d75-ad89-80c474e828e7,932,De_Campo,27-Dec-21,Lavalleja,sgsp,4,5/30/2022 19:35,sinae_covid_19,5/30/2022 19:35,sinae_covid_19,-55.28444723,-34.31530925,,,,,,,,
86,c20e66b7-193b-4d01-ba11-500061b04a84,516,Forestal_Plantado,3-Feb-20,Maldonado,cecoed,4,6/9/2022 15:59,sinae_covid_19,6/9/2022 16:04,sinae_covid_19,-55.39051808,-34.76872181,,,,,,,,
74,c269dfaa-a57f-46bf-8c32-dae4ae03aa61,960,Interface_Urbana,9-Jan-22,Canelones,sgsp,3,5/30/2022 19:49,sinae_covid_19,5/30/2022 19:49,sinae_covid_19,-55.98491412,-34.76812894,,,,,,,,
82,b46b5b6e-eafa-4952-afda-f84a1ddb74e4,505,De_Campo,26-Jan-20,Lavalleja,cecoed,2,6/9/2022 14:53,sinae_covid_19,6/9/2022 14:53,sinae_covid_19,-55.19890919,-34.36568233,,,,,,,,
84,6e7f4067-0484-4e95-8f32-ffe3ab4e5ff6,506,De_Campo,27-Jan-20,Lavalleja,cecoed,2,6/9/2022 15:49,sinae_covid_19,6/9/2022 15:49,sinae_covid_19,-54.53232236,-33.41116628,,,,,,,,
98,d886b91a-77ee-4530-81eb-df7f4a822a0b,812,De_Campo,23-Dec-21,Tacuarembo,prensa,2,6/10/2022 13:02,sinae_covid_19,6/10/2022 13:02,sinae_covid_19,-56.01825057,-31.72655589,,,,,,,,
111,4ce7b7fa-70bc-4a39-aee9-007662a63144,1053,Forestal_Plantado,13-Jun-22,Paysandu,sgsp,1.5,6/28/2022 19:16,sinae_covid_19,6/28/2022 19:16,sinae_covid_19,-57.50000205,-31.88005205,,,,,,,,
100,465f6b50-6c88-4ffa-8804-4c7f68ce98bc,931,De_Campo,27-Dec-21,Cerro_Largo,sgsp,1,6/10/2022 13:26,sinae_covid_19,6/10/2022 13:26,sinae_covid_19,-54.27644463,-31.7884256,,,,,,,,
7,e3fb9f22-7e58-4e1e-b0d1-0cbcf2237e44,971,De_Campo,14-Jan-22,Lavalleja,sgsp,1,5/24/2022 19:46,sinae_covid_19,5/24/2022 20:39,sinae_covid_19,-55.4062707,-34.42945197,,,,,,,,
75,a0bbd774-d9bc-4045-8487-c73d4a2562bd,955,Interface_Urbana,6-Jan-22,Salto,sgsp,1,5/30/2022 19:54,sinae_covid_19,5/30/2022 19:54,sinae_covid_19,-57.97051909,-31.4064623,,,,,,,,
101,2bbc88a2-1ba2-4c9f-9534-87e91f3544b9,818,De_Campo,29-Dec-21,Maldonado,cecoed,0.0003,6/10/2022 13:34,sinae_covid_19,6/15/2022 17:28,sinae_covid_19,-55.25887,-34.81007,,,,,,,,
42,d2689178-15f0-49de-beaf-a194e231c088,940,De_Campo,30-Dec-21,Canelones,sgsp,,5/25/2022 17:54,sinae_covid_19,5/25/2022 17:54,sinae_covid_19,-56.25606077,-34.62325472,,,,,,,,
16,82903aa9-c2d5-4763-b03a-4edba2245729,967,De_Campo,13-Jan-22,Canelones,sgsp,,5/25/2022 14:01,sinae_covid_19,5/25/2022 14:01,sinae_covid_19,-56.26003129,-34.61034731,,,,,,,,
